startup_id,founder_id,session,societe,fondateur
C0224,F0415,10/2019,ProvenMed,Ahmed Boughaleb
C0225,F0416,10/2019,Lightency,Jaafar Saied
C0225,F0417,10/2019,Lightency,Mohamed Mnif
C0225,F0418,10/2019,Lightency,Boubaker Selmi
C0226,F0419,10/2019,CURE,Mohamed Dhaouafi
C0227,F0420,10/2019,REBOOTKAMP,Lotfi Darragi
C0227,F0421,10/2019,REBOOTKAMP,Hugh Bosely
C0227,F0422,10/2019,REBOOTKAMP,Tarek Chehidi
C0227,F0423,10/2019,REBOOTKAMP,Aymen Ben Hassine
C0227,F0157,10/2019,REBOOTKAMP,Bilel Labidi
C0228,F0424,10/2019,Tledger,Hichem Ben Fadhl
C0228,F0425,10/2019,Tledger,Amine Ben Abderrahman
,F0426,10/2019,Sala7li,Mohamed Aymen Ben Hadj Mabrouk
,F0263,10/2019,Sala7li,Ines Dhaouadi
,F0253,10/2019,TuniBoat,Ahmed Ayadi
C0229,F0427,10/2019,BeBouncy,Ayoub Ben Younes
C0229,F0162,10/2019,BeBouncy,Sophie Alexandra Aiachi
C0229,F0428,10/2019,BeBouncy,Assad Ben Mrad
C0230,F0212,10/2019,CreatiView,Youssef Meksi
C0230,F0429,10/2019,CreatiView,Nour Alaya
