decision_id;company_name;founder_name;session
S7_D0021;BeBouncy;Ayoub Ben Younes;10/2019
S7_D0021;BeBouncy;Sophie Alexandra Aiachi;10/2019
S7_D0021;BeBouncy;Assad Ben Mrad;10/2019
S7_D0022;CreatiView;Youssef Meksi;10/2019
S7_D0022;CreatiView;Nour Alaya;10/2019
S7_D0023;Bon'Heure;Nour Tekaya;10/2019
S7_D0023;Bon'Heure;Skander Gafsi;10/2019
S7_D0024;Coursesgolf;Assil Talmoudi;10/2019
S7_D0025;Rhintos Games;Ayoub Ben Thabet;10/2019
S7_D0025;Rhintos Games;Ahmed Chlagou;10/2019
S7_D0025;Rhintos Games;Hishem Zarrad;10/2019
S7_D0026;WareCom;Hamza SAIDI;10/2019
S7_D0026;WareCom;Nour Abbous;10/2019
S7_D0026;WareCom;Ali Saidi;10/2019
S7_D0027;Foodealz;Rim ELFAHEM;10/2019
S7_D0027;Foodealz;Iskander EL AMRI;10/2019
S7_D0028;IDWEY;Khouloud Kaabi;10/2019
S7_D0028;IDWEY;Meriem Amamou;10/2019
S7_D0028;IDWEY;Borhen Mansouri Khmaiess;10/2019
S7_D0028;IDWEY;Ahmed;10/2019
S7_D0029;Humansys;Amine Gara;10/2019
